"","values","ind"
"117","CCR6","REACTOME_INNATE_IMMUNE_SYSTEM"
"118","CR1","REACTOME_INNATE_IMMUNE_SYSTEM"
"119","CREB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"120","ATF2","REACTOME_INNATE_IMMUNE_SYSTEM"
"121","CREBBP","REACTOME_INNATE_IMMUNE_SYSTEM"
"122","CRP","REACTOME_INNATE_IMMUNE_SYSTEM"
"123","DEFB104A","REACTOME_INNATE_IMMUNE_SYSTEM"
"124","DEFB127","REACTOME_INNATE_IMMUNE_SYSTEM"
"125","DEFB129","REACTOME_INNATE_IMMUNE_SYSTEM"
"126","MAPK14","REACTOME_INNATE_IMMUNE_SYSTEM"
"127","TICAM1","REACTOME_INNATE_IMMUNE_SYSTEM"
"128","CTSB","REACTOME_INNATE_IMMUNE_SYSTEM"
"129","CTSK","REACTOME_INNATE_IMMUNE_SYSTEM"
"130","CTSL1","REACTOME_INNATE_IMMUNE_SYSTEM"
"131","CTSS","REACTOME_INNATE_IMMUNE_SYSTEM"
"132","CYLD","REACTOME_INNATE_IMMUNE_SYSTEM"
"133","CD55","REACTOME_INNATE_IMMUNE_SYSTEM"
"134","DDOST","REACTOME_INNATE_IMMUNE_SYSTEM"
"135","DEFA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"136","DEFA3","REACTOME_INNATE_IMMUNE_SYSTEM"
"137","DEFA4","REACTOME_INNATE_IMMUNE_SYSTEM"
"138","DEFA5","REACTOME_INNATE_IMMUNE_SYSTEM"
"139","DEFA6","REACTOME_INNATE_IMMUNE_SYSTEM"
"140","DEFB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"141","DEFB4A","REACTOME_INNATE_IMMUNE_SYSTEM"
"142","CFD","REACTOME_INNATE_IMMUNE_SYSTEM"
"143","DNM1","REACTOME_INNATE_IMMUNE_SYSTEM"
"144","AGER","REACTOME_INNATE_IMMUNE_SYSTEM"
"145","DNM2","REACTOME_INNATE_IMMUNE_SYSTEM"
"146","DUSP3","REACTOME_INNATE_IMMUNE_SYSTEM"
"147","DUSP4","REACTOME_INNATE_IMMUNE_SYSTEM"
"148","DUSP6","REACTOME_INNATE_IMMUNE_SYSTEM"
"149","DUSP7","REACTOME_INNATE_IMMUNE_SYSTEM"
"150","ELK1","REACTOME_INNATE_IMMUNE_SYSTEM"
"151","EP300","REACTOME_INNATE_IMMUNE_SYSTEM"
"152","NLRP1","REACTOME_INNATE_IMMUNE_SYSTEM"
"153","TAB2","REACTOME_INNATE_IMMUNE_SYSTEM"
"154","FOS","REACTOME_INNATE_IMMUNE_SYSTEM"
"155","DDX58","REACTOME_INNATE_IMMUNE_SYSTEM"
"156","LY96","REACTOME_INNATE_IMMUNE_SYSTEM"
"157","PANX1","REACTOME_INNATE_IMMUNE_SYSTEM"
"158","DEFB105A","REACTOME_INNATE_IMMUNE_SYSTEM"
"159","DEFB106A","REACTOME_INNATE_IMMUNE_SYSTEM"
"160","DEFB107A","REACTOME_INNATE_IMMUNE_SYSTEM"
"161","DEFB108B","REACTOME_INNATE_IMMUNE_SYSTEM"
"162","DEFB110","REACTOME_INNATE_IMMUNE_SYSTEM"
"163","DEFB112","REACTOME_INNATE_IMMUNE_SYSTEM"
"164","DEFB113","REACTOME_INNATE_IMMUNE_SYSTEM"
"165","DEFB114","REACTOME_INNATE_IMMUNE_SYSTEM"
"166","DEFB115","REACTOME_INNATE_IMMUNE_SYSTEM"
"167","DEFB116","REACTOME_INNATE_IMMUNE_SYSTEM"
"168","DEFB119","REACTOME_INNATE_IMMUNE_SYSTEM"
"169","DEFB121","REACTOME_INNATE_IMMUNE_SYSTEM"
"170","DEFB123","REACTOME_INNATE_IMMUNE_SYSTEM"
"171","DEFB124","REACTOME_INNATE_IMMUNE_SYSTEM"
"172","DEFB125","REACTOME_INNATE_IMMUNE_SYSTEM"
"173","DEFB128","REACTOME_INNATE_IMMUNE_SYSTEM"
"174","DEFB130","REACTOME_INNATE_IMMUNE_SYSTEM"
"175","PELI3","REACTOME_INNATE_IMMUNE_SYSTEM"
"176","UNC93B6","REACTOME_INNATE_IMMUNE_SYSTEM"
"177","TAB3","REACTOME_INNATE_IMMUNE_SYSTEM"
"178","DAK","REACTOME_INNATE_IMMUNE_SYSTEM"
"179","PYCARD","REACTOME_INNATE_IMMUNE_SYSTEM"
"180","TBK1","REACTOME_INNATE_IMMUNE_SYSTEM"
"181","CFH","REACTOME_INNATE_IMMUNE_SYSTEM"
"182","PIK3R4","REACTOME_INNATE_IMMUNE_SYSTEM"
"183","UBE2K","REACTOME_INNATE_IMMUNE_SYSTEM"
"184","HMGB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"185","BIRC2","REACTOME_INNATE_IMMUNE_SYSTEM"
"186","BIRC3","REACTOME_INNATE_IMMUNE_SYSTEM"
"187","HSP90AB1","REACTOME_INNATE_IMMUNE_SYSTEM"
"188","CFI","REACTOME_INNATE_IMMUNE_SYSTEM"
"189","IFNA1","REACTOME_INNATE_IMMUNE_SYSTEM"
"190","IFNA2","REACTOME_INNATE_IMMUNE_SYSTEM"
"191","IFNA4","REACTOME_INNATE_IMMUNE_SYSTEM"
