"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"N113O",0.0334916318808525,0,0.00901198357780007,0.185424285617102,0,0.499763681915875,0,0,0.0342990726248831,0,0.0609478952190621,0.0206540577360472,0.0816174815768819,0,0,0,0,0.00191161243965173,0,0.0728611369878142,1.7160424029652e-05,0,0,0.0494335738264511,1.12491357499083
"N113S",0.0800194080841608,0,0.0143397902134841,0.283513560284324,0.0590848220876168,0.221084187305664,0,0,0,0,0,0,0.0571599338328379,0.147209582112829,0,0.0390002630676848,0,0.00968650316918133,0,0.031856401060929,0.0570455487812889,0,0,0.00526489017670285,1.1051318472432
"N166O",0.054361398341612,0,0,0.337031013663029,0.223530183794212,0,0.0387508934050414,0,0,0,0.0436264359718202,0,0.0619108187140949,0.210353119946777,0.00182209513396487,0.000453102309220872,0,0,0.0281609387202276,0,0,0,0,0.00167262534262212,1.12105733501963
"N166S",0.110564221288301,0,0,0.293134914484601,0.186437175244634,0.0116196444661912,0,0,0,0,0.021471737652931,0,0,0.280873246308265,0,0.0809958981298138,0,0.00424915762458613,0.0106540048006766,0,0,0,0,0.00135975436241993,1.11945586394144
"N169O",0.202624404331216,0,0.0128257714781499,0.299409251911173,0,0.250140405456769,0.00292328555393314,0,0.025101163424816,0,0,0.0996838033121334,0.03992244083928,0,0,0.00079294055506989,0,0.00515401274925328,0,0.0614225203882063,0,0,0,0.0777689035723845,1.10789950833902
"N169S",0.0743478341254909,0,0.0263952990322808,0.298235573818372,0.0490876257518318,0.116824434788162,0,0,0.00945596390370339,0,0.0544684162434717,0.0381555804565964,0.0829865562003768,0.0623554496813952,0.00348832784632341,0.0154309378064294,0,0,0,0.168768000345566,0,0,0,0.000356265905971765,1.1207912838307
"N170O",0.195145989896691,0,0.0396669257172394,0.174106129353128,0,0.395221133047256,0,0,0,0,0.0828006571509068,0.0126331732424474,0.0294823769582177,0.0629649569247521,0,0,0,0.0079786577093618,0,0,0,0,0,0.0780202737147615,1.09268045694771
"N170S",0.00949891323027457,0,0.00197055229424756,0.329044455554668,0,0.242596690266327,0.187240103831217,0,0,0,0.0247651053624244,0.0695350232620891,0.0325681664089854,0.0660423366253429,0,0.0217394731635913,0,0.0125818984511386,0,0,0.00241728154969473,0,0,0.152213682973248,1.0697775396183
"N215O",0.0454143991111734,0,0.017071223896272,0.0827206241737985,0.191016759847345,0.156009020336251,0,0,0,0,0,0.057710256024671,0.20710003061518,0.22019271912657,0,0,0,0.0172132447441948,0.00555172212454392,0,0,0,0,-0.00340141470640553,1.10317925194923
"N215S",0.17173185641374,0,0,0.292023000831357,0,0.072226966582446,0,0.040122144216487,0.0279871721384572,0,0.148129909873117,0,0.0699789339474138,0.163970235262829,0.00469847378726216,0,0,0,0.00913130694689023,0,0,0,0,-0.0153128937820083,1.12602368155458
"N250O",0.0748922578339255,0,0.0159143017154608,0.0761989687971017,0,0.591254598073235,0.00745432492318168,0,0,0,0.146391914876736,0,0.0464788696106559,0,0,0,0.00176414863666849,0.00414244572996165,0,0.0183515282148917,0.0171566415881823,0,0,0.00482811623889754,1.15006330539603
"N250S",0.0266332093923066,0,0.0202799334206883,0.119963574962537,0,0.634573933933246,0.000147114845062435,0,0,0,0.0924458912088389,0,0.0432207659241017,0.00913760924867304,0,0,0.000166085222831088,0.00363506422554856,0,0.0446992384651838,0.00509757915098221,0,0,0.185906717166335,1.06173608646029
"N253O",0.05502619595636,0,0.00413800215135219,0,0,0.624531050993219,0.0596647326824142,0,0,0,0.13429696094011,0,0.024225968295202,0.00993827351310355,0,0,0,0.00230422209926499,0,0.0836907239706752,0.00218386939829815,0,0,0.0625158283780786,1.11176050219894
"N253S",0.0460184697189092,0,0.0222241446889309,0.0669105669022616,0,0.487862008040017,0.014294343697709,0.0205565117313583,0,0,0.120868605909366,0,0.0375674164791725,0,0.00902400933820739,0,0,0.00252543805311662,0,0.139047363051739,0.0331011223892121,0,0,0.0191463939125858,1.11921148898356
"N256S",0.020115728948554,0,0.00152940878077463,0.111022212093265,0,0.630465038654145,0.0793191851384812,0,0,0,0.00362990395631499,0.0559881095472226,0.0198476268754063,0.00148539822516999,0,0,0,0.00161778099756702,0,0.0330374809193472,0.0419421258637521,0,0,0.0793105112049879,1.11995924026422
"N261S",0.0484097157675664,0,0.000706508084937677,0.144095416458974,0,0.383520261446877,0.0363763176538021,0.013308907162283,0.0571923778974331,0,0.142539918767821,0,0.0176422941028853,0.01070519741812,0.00515191094730092,0,0,0.0375815093880621,0,0.0988760907390559,0.00389357416488119,0,0,0.00999722646675798,1.1328274650506
"N335S",0.115295824275079,0,0.00604490217178717,0.155083060861694,0,0.472376617124081,0,0.0190989631190778,0,0,0.069305404447427,0.082398202417144,0.0270648345178862,0.0241064514653112,0.00227332602676409,0,0,0.00168154325656491,0,0.00937772432889003,0.0158931459882939,0,0,0.0386689266214359,1.13763817267986
"N352S",0.0353907874699944,0,0,0.0308431002216163,0.436553010483327,0.192912736186927,0,0,0,0,0.0850056020465717,0.00171198739709492,0.00528765067440487,0.0476034258304175,0,0,0.00102505410823556,0.0123128716482146,0,0.151353773933196,0,0,0,0.0706671282320326,1.10751159343494
"N353S",0,0,0.00192118198721269,0.0379388705040167,0,0.572571433977673,0.138960216741685,0,0,0,0.049578739633223,0.0106305118535488,0.0221249832237691,0,0,0,0,0.0670592189642736,0,0.0767367705113375,0.0224780726032607,0,0,0.120327468972336,1.07287324823741
