,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S10-28388_,,,,,,,,,,,,M-S10-28388_1,,,,,,,,,,,,M-S10-28388_2,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,8,1,429,1959,606,1,1,1,429,1959,0,,8,1,474,258,1736,1,1,1,474,258,0,,8,1,567,2595,1728,1,1,1,567,2595,0
,8,1,483,1881,594,1,1,1,483,1881,0,,8,1,447,192,453,1,1,1,447,192,0,,8,1,498,2481,2374,1,1,1,498,2481,0
,8,1,456,1863,489,1,1,1,456,1863,0,,8,1,477,126,1568,1,1,1,477,126,0,,8,1,594,2370,287,1,1,1,594,2370,0
,8,1,408,1923,534,1,1,1,408,1923,0,,8,1,384,120,1368,1,1,1,384,120,0,,8,1,639,2319,2516,1,1,1,639,2319,0
,8,1,567,1947,634,1,1,1,567,1947,0,,8,1,384,162,1005,1,1,1,384,162,0,,8,1,738,2349,1065,1,1,1,738,2349,0
,8,1,384,1800,563,1,1,1,384,1800,0,,8,1,429,51,1031,1,1,1,429,51,0,,8,1,696,2484,1541,1,1,1,696,2484,0
,8,1,456,1752,664,1,1,1,456,1752,0,,8,1,534,135,1522,1,1,1,534,135,0,,8,1,477,2280,431,1,1,1,477,2280,0
,8,1,483,1662,664,1,1,1,483,1662,0,,8,1,534,186,1068,1,1,1,534,186,0,,8,1,651,2088,369,1,1,1,651,2088,0
,8,1,384,1647,663,1,1,1,384,1647,0,,8,1,594,159,865,1,1,1,594,159,0,,8,1,525,2019,2053,1,1,1,525,2019,0
,8,1,447,1620,493,1,1,1,447,1620,0,,8,1,633,105,1060,1,1,1,633,105,0,,8,1,1131,2103,729,1,1,1,1131,2103,0
,8,1,402,1569,664,1,1,1,402,1569,0,,8,1,621,57,1153,1,1,1,621,57,0,,8,1,1158,2193,1057,1,1,1,1158,2193,0
,8,1,417,1494,599,1,1,1,417,1494,0,,8,1,690,102,1760,1,1,1,690,102,0,,8,1,1257,2433,1895,1,1,1,1257,2433,0
,8,1,399,1506,619,1,1,1,399,1506,0,,8,1,708,63,1347,1,1,1,708,63,0,,8,1,1350,2586,347,1,1,1,1350,2586,0
,8,1,342,1509,560,1,1,1,342,1509,0,,8,1,705,27,1488,1,1,1,705,27,0,,8,1,1401,2682,395,1,1,1,1401,2682,0
,8,1,312,1521,642,1,1,1,312,1521,0,,8,1,786,27,1155,1,1,1,786,27,0,,8,1,1473,2637,1760,1,1,1,1473,2637,0
,8,1,264,1479,582,1,1,1,264,1479,0,,8,1,789,339,1376,1,1,1,789,339,0,,8,1,1425,2538,615,1,1,1,1425,2538,0
,8,1,276,1452,444,1,1,1,276,1452,0,,8,1,759,297,1283,1,1,1,759,297,0,,8,1,1479,2565,390,1,1,1,1479,2565,0
,8,1,327,1473,292,1,1,1,327,1473,0,,8,1,789,258,289,1,1,1,789,258,0,,8,1,1398,2478,289,1,1,1,1398,2478,0
,8,1,222,1509,466,1,1,1,222,1509,0,,8,1,828,234,1565,1,1,1,828,234,0,,8,1,1485,2253,434,1,1,1,1485,2253,0
,8,1,225,1563,622,1,1,1,225,1563,0,,8,1,819,192,704,1,1,1,819,192,0,,8,1,1539,2109,341,1,1,1,1539,2109,0
,8,1,180,1524,516,1,1,1,180,1524,0,,8,1,687,306,1271,1,1,1,687,306,0,,8,1,2142,2700,1807,1,1,1,2142,2700,0
,8,1,147,1686,495,1,1,1,147,1686,0,,8,1,516,993,775,1,1,1,516,993,0,,8,1,735,1368,1069,1,1,1,735,1368,0
