"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"ABCB7",2,19,4,4,2,0,2,0,1,0,0,0,5,19,24,0,0,0,0,0,0,3,62,1,4,0,2,3,2,0,0,2,0,2,0,2,26,10,53,0,6
"ABCB8",150,49,307,251,133,0,43,2,0,0,1,17,5,6,2,0,0,0,0,220,55,51,35,144,332,515,30,1534,42,4,152,104,9,15,74,136,0,3,5,14,8
"ABCB9",56,55,195,55,98,2,257,0,0,0,0,156,0,8,0,5,0,0,0,11,26,9,5,38,7,12,22,152,47,1914,9,2760,3,16,8,49,1,3,1,3,0
"ABCC1",116,280,662,262,432,1182,4813,1,139,303,14,88,7,61,13,90,213,44166,2,82,64,146,109,30,766,454,24,811,107,2538,2304,56,1207,40,2367,73,163,337,187,125,82
"ABCC10",40,22,41,24,101,0,3432,0,0,0,22,160,9,21,3,0,0,0,0,63,3,26,4,0,10,5,414,18,43,150,1,0,22,3,0,53,0,12,976,123,17
"ABCC11",32,637,61,158,146,0,0,0,0,0,0,112,0,0,0,0,0,0,0,6,5,2,3,5,4,33,11,21,1,9,2,2,4,3,4,11,0,0,0,3,0
"ABCC12",299,3,267,46,131,13,5,0,0,0,0,62,0,0,0,0,0,0,0,9,73,3,118,247,471,115,3,200,7,1,28,28,570,152,175,32,1,0,0,31959,0
"ABCC13",5,2,12,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,7,18,33,1,1,0,0,4,10,1,0,1,0,5,214,1,0,0,0,5,0
"ABCC2",51,1,3,22,2213,0,0,0,0,0,0,5,0,0,0,0,0,0,4,10,34,0,9,1,2,2,0,14,0,1648,0,1,1,7,25,27,0,4,0,0,0
"ABCC3",224,25,141,266,16,1,0,0,1,0,0,19,2,0,1,0,0,0,0,2,3808,3,10,7,78,311,3,3308,6,16,1,13,28,7,1,7,0,0,0,193,0
"ABCC4",95,27,115,353,872,28,26,1,1,0,0,181,5,23,25,0,0,2,26,0,6,12,3,2,3,66,4,12,7,61,13,6,8,25,165,1,0,3,3,35,0
"ABCC5",30,56,217,23,346,0,8,1,0,10,0,26,0,1,6,0,5,0,0,37,58,87,18,5,22,8,7,1290,8,6,21,23,10,8,10,27,1,21,11,0,3
"ABCC5-AS1",0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0
"ABCC6",17,10428,90,86,118,178,14,0,0,8,0,61,0,0,0,0,12,0,0,45,31,31,63,21,59,73,10,34,10,5,7,3,3,4,4,4,1,33,30,28,0
"ABCC6P1",1,3,0,1,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55,0,2,21,0,5,0,1,2,1,1,0,0,0,0,0,0,0,0
"ABCC6P2",0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC8",200,501,464,537,95,0,2,0,0,0,0,3762,0,0,0,0,0,2,0,104,99,127,23,22,1300,20,36,292,43,282,3,25,137,750,37,53,0,0,0,0,0
"ABCC9",3,10,13,4,6,0,6,0,0,0,3,5,0,2,0,0,0,1,0,5,2,6,3,24,1,1,2,5,5,1,0,2,0,0,5,30,0,0,0,1,0
"ABCD1",303,128,18,170,61,67,0,1,0,0,0,375,5,22,4,0,1,0,6,21,50,55,15,7,54,9,41,67,538,18,27,12,4,3,12,55,0,8,9,6,0
"ABCD2",1,9,11,6,5,0,431,0,0,0,0,6,0,21,38,0,0,1,0,4,1,15,0,0,0,7,2,4,144,3,0,0,1,5,0,10,1,2,0,4,0
"ABCD3",9,5,3,11,4,1,1,29,0,0,0,4,0,15,79,0,4,0,0,82,12,3,28,21,7,134,35,24,0,22,0,47,0,114,0,3,0,5,63,5,120
"ABCD4",18,12,60,45,14,0,26,0,0,179,2,22,1,7,17,0,713,1,0,57,6,29,4,4,477,1203,112,25,44,4,4,0,16,345,1,13,13,25,19,21,1
"ABCE1",0,1,12,6,1,1,65,0,0,33,8,16,218,119,70,7,13,0,8,0,1,0,6,29,36,0,5,0,0,0,1,0,1,0,1,3,41,39,255,38,331
"ABCF1",1572,1,0,6,3,2,765,18176,426,6,57,0,18,32,16,109,153,2633,10,0,12,0,52,127,17,0,0,0,1,0,0,0,0,25,0,15,87,119,118,77,52
"ABCF2",17,3,11735,198,177,1748,55,16,1,0,30,6,4,22,27,0,37,5,0,869,2,2,54,3,18,3,5,8,78,9,89,0,2,4,1,4,25,325,122,8,45
"ABCF3",203,23,2,11,20,502,3307,33,30,5,30,47,6,10,9,49,25,1,0,3,0,86,112,19,9,25,10838,21,58,17,1,0,47,14,0,4,22,4198,617,971,38
"ABCG1",65,92,1018,114,99,10,592,137,0,0,8,60,33,35,12,16,2,0,3,10,1563,22,39,1,43,19,14,387,70,184,103,16,31,31,217,73,8,112,121,14,3
"ABCG2",153,43,8,2,14,1,4,0,1,0,0,9,0,0,0,0,0,0,0,0,4,2,5,2,5,2,241,2,14,10,1,3,43,3,4,1,0,1,0,0,0
"ABCG4",161,82,39,53,122,5,0,3,1,0,2,11,0,0,0,1,5,4,24,558,10,0,13,154,1,57,4,97,69,4,126,3,1,0,383,2,3,4,3,1,0
"ABCG5",20,18,22,71,62,0,0,0,1,5,0,3,0,0,0,3,0,0,0,1,23,1,2,0,2,1,5,4,7,1,4,1,4,32,231,1,0,0,0,0,0
"ABCG8",36,15,80,22,28,219,0,0,0,0,0,78,0,0,0,0,0,0,0,5,12,3,6,8,1,3,21,105,86,4,118,1,1,69,156,340,0,1,0,1,0
"ABHD1",53,2,7,3,1,30,0,0,0,3,0,415,0,1,3,0,0,0,1,1,12,0,0,0,1,2,5,3,1,0,0,2,0,0,0,0,0,0,0,0,3
"ABHD10",0,3,15,25,15,1,2,0,0,0,0,2,0,26,4,0,0,0,0,0,0,8,0,1,5,2,2,0,0,0,4,0,2,2,0,4,6,0,0,3,3
"ABHD11",12,70,27,6,57,1,9,0,0,0,0,23,0,3,5,0,0,1,0,0,0,0,1,2,15,27,13,2,5,6,12,2,1,2243,0,1,0,14,627,42,1
"ABHD11-AS1",3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,560,0,0,0,2,0,35,4
"ABHD12",7,364,26,288,31,3,5,0,0,0,6,769,35,30,6,10,181,1,12,2,51,6,40,3,5,18,28,67,39,20,6216,21,32,116,23,43,42,34,5,36,66
"ABHD12B",20,1,2,6,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,89,1,0,2,2,0,19,2,0,8,0,1,0,0,3,0,0,0,0,2,0
"ABHD13",0,15,50,5,15,4,317,4,0,14,16117,0,19,4,30,0,8,0,60,0,6,9,3,87,2,0,1,1,1,0,2,0,2,6,3,2,6,9,109,27,155
"ABHD14A",908,0,0,171,4,0,0,0,0,0,0,2,0,4,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,26,0,0,0,1,0,2,0,1,0,4,0
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD14B",32,2,22,14,8,51,688,0,0,9,0,0,8,70,28,0,5,0,2,1,35,6,17,19,12,377,2,4,6,111,16,1,109,1,2,4,5,1,93,1,6
"ABHD15",21,11,14,90,62,4,3,0,1,2,1,11,10,15,16,4,0,0,0,7,0,6,2,15,5,28,11,11,47,68,4,6,31,9,54,10,10,4,10,86,2
"ABHD16A",91,25,0,0,0,0,11,12,0,0,0,0,3,2,4,0,10,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,1636,1751,16
"ABHD16B",141,23,25,16,68,0,0,0,0,0,0,21,0,1,1,0,0,0,0,8,6,21,5,67,80,65,30,25,9,14,15,100,6,5,32,29,0,0,0,0,2
