"","DCIS.15T","DCIS.166T","DCIS.178T","DCIS.17T","DCIS.18T","DCIS.274T","DCIS.280T","DCIS.307T","DCIS.320T","DCIS.322T","DCIS.336T","IDC.127T","IDC.180T.HER2.","IDC.192T.HER2.","IDC.229T.HER2.","IDC.249T.TN","IDC.251T.TN","IDC.255T.TN","IDC.340T.TN","IDC.97T","IDC.242T","IDC.256T","N113OT","N113ST","N166OT","N166ST","N169OT","N169ST","N170OT","N170ST","N215OT","N215ST","N250OT","N250ST","N253OT","N253ST","N256ST.BRCA1","N261ST.BRCA1","N335ST.BRCA2","N352ST.BRCA1","N353ST.BRCA2"
"LINC00960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00961",0,2,17,55,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,43,10,0,26,0,0,22,1,0,1,0,1,0,4,11,0,0,0,1,0
"LINC00963",15,28,163,4,3,34,5,0,1,0,0,7,2,19,6,0,0,0,0,0,208,72,43,1,0,4,1,4,0,4,1,1,3,3,2,3,0,23,4,6,10
"LINC00964",19,11,0,7,93,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,48,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0
"LINC00965",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0
"LINC00967",0,5,3,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40,0,0,0,0,0,12,0,0,0,0,0,1,0
"LINC00968",1,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,23,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,2,0
"LINC00969",14,0,0,17,0,22,7,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,3,3,0,0,8,17,1,1
"LINC00970",1,4,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,2,10,0,9,0,1,7,0,0,8,1,8,1,0,0,0,0,0,0
"LINC00971",0,1,3,9,9,3,1,0,0,0,0,1,1,0,0,0,1,0,0,18,12,6,2,4,4,4,5,4,0,1,1,8,56,125,296,31,0,0,0,3,0
"LINC00972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00974",60,4,16,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,7,0
"LINC00977",0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"LINC00982",41,751,51,75,97,0,0,0,0,0,0,102,0,0,0,0,1,0,0,217,2657,13,57,72,10,116,9,9,27,6,875,5,7,5,5,11,0,1,1,1,1
"LINC00987",12,3,6,1,0,254,644,1,3,16,253,0,1,3,3,10,5741,4,7,0,1,6,8,1,1,0,22,3,1,12,0,0,11,67,3,39,12,7,25,15,3
"LINC00989",4,0,0,0,0,1,84,1,0,0,0,2,0,0,0,0,0,0,0,0,10,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00992",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0
"LINC00993",0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00994",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,19,1,3,33,0,0,0,2,0,0,5,15,0,0,0,0,1,1667,0,0,0,0,0
"LINC00996",16,25,1,17,5,0,0,13,0,1,1,1,0,0,1,0,1,0,0,56,0,2,3,0,14,0,14,41,1,1,324,3,2,0,0,0,0,0,0,0,0
"LINC00997",3,2,9,4,2,0,1,0,0,0,0,9,0,0,0,0,102,0,0,1,0,1,5,9,6,18,2,5,4,1,1,7,0,17,0,5,0,0,7,0,1
"LINC00998",0,15,1,0,3,70,0,0,0,0,0,0,0,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4
"LINC00999",22,1,0,2,92,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,0,1,0,0,0,0,1,0,0,9,0,0,0
"LINC01000",87,5,0,41,1,737,4,0,0,1,48,21,1,6,4,0,0,0,0,1,1,0,0,4,53,1,0,5,0,28,2,0,18,0,0,11,16,185,7,254,2
"LINC01001",0,0,1,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
"LINC01002",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01003",2,0,7,17,12,0,0,0,0,0,2,43,41,113,53,0,0,0,0,2,25,31,261,3,24,168,18,61,41,10,7,37,3,133,4,1333,0,16,1,6,176
"LINC01004",6,30,4,80,37,1,32,0,1,114,3,6,20,73,46,6,31,0,9,1,5,22,6,4,8,56,1,1,6,3,2,0,66,21,2,1,55,920,156,64,68
"LINC01005",1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,128,0,0,0,0,0,0,0,5,2,0,0,0,7,0
"LINC01006",0,1,16,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,68,10,0,2,0,0,1,0,0,0,0,0,0,0,0
"LINC01007",12,2,2,189,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,21,2,1,0,0,2,0,0,1,18,102,1,1,0,1,10,37,0,0,0,5,0
"LINC01010",2,1,5,7,7,4,3,0,0,0,0,6,3,0,0,0,0,0,0,1,1,13,1,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0
"LINC01011",1,1,2,0,0,23,0,0,0,48,0,0,15,0,0,0,0,0,0,1,0,0,1,3,14,0,0,5,1,1,3,0,0,0,0,0,0,0,0,2,0
"LINC01012",26,0,24,3,2,0,0,0,0,2,0,4,0,1,0,5,0,0,0,0,3,63,2,1,3,0,3,2,5,1,0,1,0,2,29,0,0,0,6,0,0
"LINC01013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0
"LINC01015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01016",6,0,7,10,10,39,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,71,1,0,0,4,0,0,1,0,0,0,0,2,129,0,0,0,0,0
"LINC01017",0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"LINC01018",22,4,10,74,74,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,2,1,1,1,1,3,0,1,1,0,1,3,1,0,9,45,0
"LINC01019",11,7,2,7,115,1,0,0,0,2,0,17,0,0,0,0,0,0,0,0,1,5,24,17,7,65,1,0,0,1,0,2,3,3,2,458,0,0,0,0,0
"LINC01020",96,9,3,1,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,25,1,0,11,0,0,0,20,17,0,0,0,0,0,0,0,0
"LINC01021",2,0,9,1,515,30,0,0,1,0,0,3,0,0,0,0,0,0,0,3,3,0,23,1,0,1,0,0,6,0,4,0,0,1,0,0,0,0,0,0,0
"LINC01022",1,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,5,241,0
"LINC01023",0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,1,1,1,0,2,0,20,0,3,0,0,0,0,0,3
"LINC01024",8,1,37,7,10,14,0,0,0,0,0,2,0,1,16,0,0,0,0,5,2,7,4,5,27,92,11,7,659,3,2,4,4,8,0,4,0,3,0,105,0
"LINC01028",0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23,0,0,2,2,3,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0
"LINC01029",1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,0,2,0,0,0,1,0,0,0,1,0
"LINC01030",0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,4,0
"LINC01031",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
"LINC01032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC01033",0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,2,0,0,0,0,6,2,0,0,0,0
"LINC01036",0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
"LINC01037",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01038",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0
"LINC01039",21,1,4,27,8,4,3,2,1,0,0,245,0,0,0,0,0,0,1,2,0,0,35,1,1,1,1,0,32,0,3,0,0,1,1,46,0,0,0,2,0
"LINC01040",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01043",17,17,379,2,3,0,0,0,0,0,0,141,0,0,0,0,0,2,0,1,6,19,5,141,221,26,8,13,21,699,5,3,1,1,2,26,0,0,0,100,0
"LINC01044",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"LINC01046",8,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0
"LINC01047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01048",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01049",7,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0
"LINC01050",1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01052",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01053",4,4,21,4,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,2,2,0,1,148,3,0,0,0,0,0,0,0
"LINC01054",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"LINC01055",0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"LINC01056",38,0,8,13,336,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,37,2,1,0,1,28,1,74,68,61,618,2,4,5,0,3,0,0,0,0,0
"LINC01057",1,4,1,5,1,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,65,1,0,1,0,0,1,1,0,21,2,0,0,0,0,1,0,0,0,0,0
"LINC01058",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01060",0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1056,8,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,47
"LINC01061",16,2,45,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,462,0,5,374,0,0,0,0,0,1,0,0,2,1,1,0
"LINC01063",3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2
"LINC01065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC01068",0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01069",4,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,2,0,0,0,0,0,1,678,0,5,0,0,0,0,0
"LINC01070",0,0,0,1,3,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01072",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,5,0,0
"LINC01075",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"LINC01080",3,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,5,2,0,0,0,0,0,0
"LINC01081",0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,190,1,1,0,0,0,0,0,0,0,1,0
"LINC01082",3,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01085",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,2,0,0,0
"LINC01087",1,0,0,0,2,109,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
"LINC01088",1,0,0,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,0,0,4,21,0,0,0,0,0,0,0,0
"LINC01089",8,0,1,3,0,0,1,0,0,0,0,1,6,10,14,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,0,1,1,0,2,1,1,6,16,5,1
"LINC01090",0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"LINC01091",1,0,1,54,6,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,69,0,1,0,2,0,0,0,0,0,0,0,0
"LINC01093",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
"LINC01094",2,0,0,0,2,1,4,0,0,1,0,4,9,0,0,0,0,0,0,0,8,4,0,0,0,4,0,11,1,2,0,3,0,0,0,0,0,0,0,0,0
"LINC01095",2,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,137,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"LINC01096",57,14,5,23,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,10,0,2,1,4,2,1,1,0,2,10,1,1,0,0,0,0,0,0
"LINC01097",1,34,37,24,6,0,0,0,0,1,0,6,0,0,0,0,0,0,0,2,0,1,10,1,1,1,2,0,1,0,0,1,0,2,5,0,0,0,0,0,0
"LINC01098",0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,159,0,0,0,33,0,0,0,1,0,0,5,0,0,3,0,0,0,0,0
"LINC01099",0,1,1,14,0,2,0,0,57,0,0,1,0,0,0,0,0,0,0,0,26,1,4,0,0,0,0,0,0,0,0,0,0,3,1148,4,0,0,0,0,0
"LINC01100",8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01101",30,0,5,6,19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,2,1,1,0,2,49,0,1,0,58,2,0,0,0,0,0,0,0,0,0,0
"LINC01102",8,21,2,26,6,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0
"LINC01103",5,0,0,4,42,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01104",181,91,1207,300,826,0,0,0,0,0,0,219,0,0,0,0,0,0,0,1,4,14,6,79,9,94,7,69,46,2,3,0,2,161,2524,7,0,0,0,0,0
"LINC01105",87,17,205,11,23,2,25,0,0,0,0,14,0,0,0,0,0,0,0,1,88,16,29,0,1,1,37,689,1,7,89,3,3,18,152,1,0,0,0,0,0
"LINC01106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01107",48,20,0,109,22,0,0,0,0,0,0,23,0,0,0,0,0,0,0,41,9,0,3,22,14,23,11,16,25,21,10134,39,0,0,27,7,0,0,0,1,0
"LINC01108",18,7,1,9,22,0,0,0,0,0,0,44,0,1,0,0,0,0,0,4,51,1,2,2,68,1,3,77,0,1,0,0,5,5065,1,0,0,0,0,9,0
"LINC01111",1,2,1,0,31,0,0,0,0,0,0,17,0,0,1,0,0,0,0,1,1,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"LINC01114",7,7,10,7,4,9,0,0,0,0,0,3,0,0,0,0,0,0,0,238,21,1,0,0,33,1,2,11,0,5,12,0,19,9,0,0,0,0,0,1,0
"LINC01115",2,0,0,25,6,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,65,0,1,0,0,0,0,0,0,0,5,1,0,7,0,6,0
"LINC01116",0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,1,0,0,1,0,0,0,0,0,3,0
"LINC01117",6,78,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,7,28,1,2,4,0,0,1,1,0,0,0,0,0,0,0
"LINC01118",12,0,1,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0
"LINC01119",14,1,103,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,1829,1,1,0,27,0,0,323,0,1,3,1,0,0,0,0,0,1,0
"LINC01120",3,1,0,1,20,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,69,0,1,48,0,0,17,1,0,0,4,0,0,2,0,0,0,0,0,0,0
"LINC01121",9,13,1,0,3,5,3,0,0,0,0,112,0,0,0,0,0,0,0,2,11,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"LINC01122",1,4,9,4,4,0,0,0,0,0,0,16,0,0,0,0,0,1,0,9,7,399,271,0,234,1,16,180,8,8,0,5,0,0,11,55,0,0,0,28,0
"LINC01123",0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC01124",5,139,5,8,50,0,0,0,0,0,0,35,0,0,0,0,0,0,0,18,0,4,1,12,11,12,1,78,12,4,11,16,2,11,1,0,0,0,0,0,0
"LINC01125",17,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,53,4,0,14,2,3,1,1,0,2,0,0,0,0,4,0,0,0,0,7
"LINC01126",4,8,5,24,349,1,0,0,0,1,0,7,3,1,15,0,0,0,1,1,58,1,1,1,1,75,7,134,4,3,6,1,1,0,0,10,0,0,2,0,0
"LINC01127",0,0,5,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,38,0,0,0,0,0,0,0
"LINC01128",29,166,9,3,8,28,25,0,35,0,14,4,18,11,2,0,1,0,0,1,260,1,22,3,34,33,17,4,71,15,2,0,427,18,2,0,221,92,417,36,18
"LINC01132",6,4,5,31,7,0,0,0,0,0,6,38,6,2,0,0,0,0,0,0,1,1,8,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,68,0
"LINC01133",11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC01134",5,10,147,0,7,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,8,0,1,3,0,2,2,3,2,0,2,9,1,0,1,5,428,0,0,0,0
"LINC01135",1,3,13,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,298,0,0,1,0,0,0,0,1,2,0,1,9,3,0,1,0,3,1,0,0
"LINC01136",8,0,424,135,4,0,0,0,1,0,4,1,0,7,17,0,0,0,0,1,19,0,0,0,1,1,50,0,3,2,0,1,5,0,1,497,0,1,25,0,1
"LINC01137",11,71,8,6,2,1027,0,0,0,0,0,34,0,0,3,0,0,0,0,5,1,5,5,187,25,5,0,4,8,9,2,6,0,4,5,8,0,1,0,2,0
"LINC01138",1,0,0,0,0,5,2,0,0,0,13,0,0,1,0,0,0,0,0,0,134,0,0,0,0,0,0,1,0,53,0,0,0,19,1,0,15,1,1,0,0
"LINC01139",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,38,0,0,0,0,0,0
"LINC01140",1,16,5,19,16,0,0,0,0,0,0,4,0,21,0,0,0,0,7,57,23,1,1,4,1024,4,2,10,5,1,2,12,21,0,72,0,0,0,0,0,0
"LINC01141",4,1,32,3,31,0,4,1,0,0,12,7,0,0,0,2,0,0,0,158,53,3,2,181,27,1334,2,1,16,16,2,9,0,1,657,2,0,0,0,1,0
"LINC01142",0,20,86,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0,0,6,0,0,6,4,0,10,0,0,37,0,0,0,0,0
"LINC01143",2,0,70,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,68,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
"LINC01144",476,52,193,449,627,0,0,0,0,0,0,756,0,0,0,0,0,0,0,2,55,12,21,14,8,45,34,30,3,6,5,9,8,11,13,11,0,0,0,0,1
"LINC01146",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
"LINC01150",4,0,11,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,6,0,0,2,0,1,1,0,1,0,8,0,1,1,0,1,0,0,1,0,0
"LINC01151",1,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1,1,0,0,2,0,3,0,6,0,0,0,0,2,77,0,0,0,0,0
"LINC01152",3,0,101,39,4,0,14,0,0,0,0,83,0,0,0,0,0,0,0,0,0,84,0,1,0,21,0,2,1,1,0,0,1,0,1,2,0,0,0,0,0
"LINC01158",8,10,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,5,0,3,1,1,0,1,0,0,3,0,0,0,0,0,0,0
"LINC01159",175,20,77,103,184,0,0,0,0,0,0,68,0,0,0,0,0,0,0,52,4,244,2,94,20,138,290,8,136,4,4,17,4,16,60,54,0,0,0,0,0
"LINC01160",0,1,17,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"LINC01162",2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LINC01163",21,2,5,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,19,1,5,0,0,8,68,0,37,0,1,2,98,2,0,6,0,0,0,0,0,0
"LINC01164",24,41,6,11,40,0,39,0,0,0,0,194,0,0,0,0,0,0,0,0,3,125,1,10,108,1313,22,7,7,23,48,3,2,6,0,0,0,0,0,0,0
"LINC01166",124,8,235,67,21,0,0,0,1,0,0,11,0,0,0,0,0,0,1,138,35,1,2,3,2,80,5,5,133,5,0,5,0,0,86,1,0,0,0,0,0
"LINC01167",11,2,0,19,30,0,0,0,1,0,0,52,0,0,0,0,0,0,0,0,19,349,0,2,24,0,3,7,3,2,1,0,1,1,10,1,0,0,0,0,0
"LINC01168",65,69,26,38,177,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,48,151,5,1,8,770,2,4,317,78,1,100,2,21,4,0,0,2,0,1,0
"LINC01169",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,0,0
"LINC01170",6,1,2,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,5,2,0,0,0,0,15,0,7,0,5,1,144,0,0,6,0,0,0,0,0,0
"LINC01173",2,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,2060,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01176",1,0,0,2,27,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,88,4
"LINC01177",0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,717,0
