,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Her2+ IDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M-S11-32228_,,,,,,,,,,,,M-S11-32228_1,,,,,,,,,,,,M-S11-32228_3,,,,,,,,,,
,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel),,Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(pixel),Y(pixel),Z(pixel)
,1,4,637,124,223,4,1,1,637,124,0,,2,2,2514,150,213,2,1,1,2514,150,0,,2,3,1266,63,231,3,1,1,1266,63,0
,1,4,648,1232,223,4,1,1,648,1232,0,,2,2,2544,276,207,2,1,1,2544,276,0,,2,3,1287,126,219,3,1,1,1287,126,0
,1,4,452,1319,216,4,1,1,452,1319,0,,2,2,2613,294,200,2,1,1,2613,294,0,,2,3,1371,126,219,3,1,1,1371,126,0
,1,4,376,1271,229,4,1,1,376,1271,0,,2,2,2508,333,203,2,1,1,2508,333,0,,2,3,1362,213,216,3,1,1,1362,213,0
,1,4,394,1219,218,4,1,1,394,1219,0,,2,2,2517,438,206,2,1,1,2517,438,0,,2,3,1344,597,204,3,1,1,1344,597,0
,1,4,448,997,216,4,1,1,448,997,0,,2,2,2454,438,208,2,1,1,2454,438,0,,2,3,1458,537,204,3,1,1,1458,537,0
,1,4,520,1027,218,4,1,1,520,1027,0,,2,2,2424,510,214,2,1,1,2424,510,0,,2,3,1566,420,217,3,1,1,1566,420,0
,1,4,150,683,216,4,1,1,150,683,0,,2,2,2256,378,206,2,1,1,2256,378,0,,2,3,1623,393,231,3,1,1,1623,393,0
,1,4,1397,267,225,4,1,1,1397,267,0,,2,2,2280,354,210,2,1,1,2280,354,0,,2,3,1548,369,214,3,1,1,1548,369,0
,1,4,1445,298,224,4,1,1,1445,298,0,,2,2,1899,75,207,2,1,1,1899,75,0,,2,3,1731,123,225,3,1,1,1731,123,0
,1,4,1367,370,226,4,1,1,1367,370,0,,2,2,1875,48,202,2,1,1,1875,48,0,,2,3,1821,162,206,3,1,1,1821,162,0
,1,4,1201,330,227,4,1,1,1201,330,0,,2,2,3105,426,208,2,1,1,3105,426,0,,2,3,1833,270,207,3,1,1,1833,270,0
,1,4,1140,346,238,4,1,1,1140,346,0,,2,2,3156,198,205,2,1,1,3156,198,0,,2,3,1929,243,206,3,1,1,1929,243,0
,2,2,50,335,212,2,1,1,50,335,0,,2,2,3192,189,214,2,1,1,3192,189,0,,2,3,1965,213,227,3,1,1,1965,213,0
,2,2,239,254,207,2,1,1,239,254,0,,2,2,3270,312,211,2,1,1,3270,312,0,,2,3,2040,183,208,3,1,1,2040,183,0
,2,2,311,278,210,2,1,1,311,278,0,,2,2,3285,375,214,2,1,1,3285,375,0,,2,3,2094,111,207,3,1,1,2094,111,0
,2,2,391,267,218,2,1,1,391,267,0,,2,2,3291,522,205,2,1,1,3291,522,0,,2,3,2160,144,200,3,1,1,2160,144,0
,2,2,452,246,211,2,1,1,452,246,0,,2,2,3489,588,215,2,1,1,3489,588,0,,2,3,2220,96,198,3,1,1,2220,96,0
,2,2,483,272,209,2,1,1,483,272,0,,2,2,3525,639,208,2,1,1,3525,639,0,,2,3,2238,48,214,3,1,1,2238,48,0
,2,2,359,198,214,2,1,1,359,198,0,,2,2,3207,696,203,2,1,1,3207,696,0,,2,3,2664,153,214,3,1,1,2664,153,0
,2,2,309,97,203,2,1,1,309,97,0,,2,2,3117,684,215,2,1,1,3117,684,0,,2,3,2739,222,211,3,1,1,2739,222,0
,2,2,278,71,210,2,1,1,278,71,0,,2,2,3075,630,208,2,1,1,3075,630,0,,2,3,2748,264,212,3,1,1,2748,264,0
,2,2,289,363,209,2,1,1,289,363,0,,2,2,3090,543,207,2,1,1,3090,543,0,,2,3,2844,192,226,3,1,1,2844,192,0
,2,2,330,354,213,2,1,1,330,354,0,,2,2,3174,540,206,2,1,1,3174,540,0,,2,3,2856,162,207,3,1,1,2856,162,0
,2,2,428,352,222,2,1,1,428,352,0,,2,2,2937,567,210,2,1,1,2937,567,0,,2,3,2814,114,215,3,1,1,2814,114,0
,2,2,478,376,213,2,1,1,478,376,0,,2,2,2937,621,213,2,1,1,2937,621,0,,2,3,2829,66,210,3,1,1,2829,66,0
,2,2,483,413,212,2,1,1,483,413,0,,2,2,2931,648,209,2,1,1,2931,648,0,,2,3,2901,261,205,3,1,1,2901,261,0
,2,2,487,465,216,2,1,1,487,465,0,,2,2,2874,633,207,2,1,1,2874,633,0,,2,3,2967,180,200,3,1,1,2967,180,0
